country,category,brand_name,wikidata_id,opening_rule,opening_hours,osm_additional_tags,description,source_url,opening_hours_url
FR,bakery,Brioche Dorée,Q2925606,partial,,"{ ""delivery:covid19"": ""yes"" }",,https://www.briochedoree.fr/,
FR,bakery,Fischer,,open_adapted,,,,https://lu.fischer1913.com/fr/actualites,https://lu.fischer1913.com/fr/boulangeries/nos-points-de-vente
FR,bakery,La Mie Câline,Q3210704,open_adapted,,,,https://www.lamiecaline.com/fr/,
FR,bakery,La Mie de Pain,,open_adapted,,"{ ""takeaway:covid19"": ""yes"", ""access:covid19"": ""no"" }",À emporter uniquement,https://www.facebook.com/lamiedepain,
FR,bakery,Marie Blachère,Q62082410,open_adapted,,,Téléphoner pour obtenir les horaires,https://www.marieblachere.com/actualites/vos-boulangeries-face-au-covid-19/,
FR,bakery,Paul,Q3370417,partial,,,,https://www.paul.fr/fr/,https://www.paul.fr/fr/nos-boutiques
FR,bakery,Sophie Lebreuilly,Q66372229,open_adapted,Mo-Sa 07:00-18:00;Su 07:00-14:00,,,https://sophie-lebreuilly.com/actu/,
FR,bank,Banque Populaire,Q846647,partial,,,Privilégier les échanges à distance,https://www.banquepopulaire.fr/portailinternet/Editorial/Informations/Pages/covid19/toujours-a-vos-cotes-1.aspx,
FR,bank,Banque Populaire Grand Ouest,Q846647,partial,,,Privilégier les échanges à distance,https://www.banquepopulaire.fr/portailinternet/Editorial/Informations/Pages/covid19/toujours-a-vos-cotes-1.aspx,
FR,bank,BNP Paribas,Q499707,partial,,,,https://mabanque.bnpparibas/rsc/contrib/pdf/EtreLaPourVous.pdf,
FR,bank,BRED,Q846647,open,,,Privilégier les échanges à distance,https://www.banquepopulaire.fr/portailinternet/Editorial/Informations/Pages/covid19/toujours-a-vos-cotes-1.aspx,
FR,bank,BRED Banque Populaire,Q846647,open,,,Privilégier les échanges à distance,https://www.banquepopulaire.fr/portailinternet/Editorial/Informations/Pages/covid19/toujours-a-vos-cotes-1.aspx,
FR,bank,Caisse d’Épargne,Q1547738,open,,,Privilégier les canaux d’échanges numériques,https://www.caisse-epargne.fr/particuliers/au-quotidien/toujours-a-vos-cotes,
FR,bank,CIC,Q746525,open_adapted,,,,https://www.cic.fr/fr/coronavirus-covid-19-cic-a-vos-cotes.html,
FR,bank,Crédit Agricole,Q590952,open_adapted,,,,https://www.credit-agricole.com/chaines-d-infos/toutes-les-chaines-d-info-du-groupe-credit-agricole/a-la-une/covid-19-le-groupe-credit-agricole-se-mobilise,
FR,bank,Crédit Coopératif,Q3006190,partial,,,,https://www.credit-cooperatif.coop/COVID-19-Credit-Cooperatif-et-vous,
FR,bank,Crédit du Nord,Q3006209,open,,,,https://twitter.com/creditdunord/status/1241380358672781312,
FR,bank,Crédit Maritime,Q17176866,open,,,Privilégier les échanges à distance,https://www.creditmaritime.fr/,
FR,bank,Crédit Mutuel,Q642627,open,,,,https://www.creditmutuel.fr/fr/coronavirus-covid-19-credit-mutuel-a-vos-cotes.html,
FR,bank,Crédit Mutuel Arkéa,Q3006236,closed,,,Services en ligne et contact possible par téléphone,https://www.arkea.com/banque/assurance/credit/accueil,
FR,bank,Crédit Mutuel de Bretagne,Q3006236,closed,,,Services en ligne et contact possible par téléphone,https://www.arkea.com/banque/assurance/credit/accueil,
FR,bank,HSBC,Q3125186,partial,,,,https://www.hsbc.fr/a-vos-cotes/coronavirus/,
FR,bank,La Banque Postale,Q3206431,open_adapted,,,,https://www.labanquepostale.fr/particulier/actualites/covid19.html,
FR,bank,LCL,Q779722,open_adapted,,,Préférer les échanges à distance,https://www.lcl.fr/vous-ne-pouvez-pas-vous-deplacer,
FR,bank,Société Générale,Q270363,partial,,,"Ouvert le matin sur rendez-vous, l’après-midi contact uniquement par téléphone",https://particuliers.societegenerale.fr/articles-actualites/covid-19,
FR,bank,Société Marseillaise de Crédit,Q3488479,open,,,,https://www.smc.fr/icd/static/wem/agora/smc/medias/20200319_CP_SMCmesuresCovid19.pdf,
FR,beauty,Marionnaud,Q1129073,open,,,,https://www.marionnaud.fr/covid-mesures-reouvertures-magasins,
FR,beauty,Yves Rocher,Q28496595,open_adapted,,,,https://www.yves-rocher.fr/,
FR,cafe,Columbus Café & Co,Q90406058,partial,,,,https://www.columbuscafe.com/info-covid-19/,https://www.columbuscafe.com/info-covid-19/
FR,cafe,Starbucks,Q37158,closed,,,,https://www.starbucks.fr/,
FR,car_rental,Ada,Q57313774,open,,,,https://www.ada.fr/,
FR,car_rental,Alamo,Q1429287,partial,,,,https://www.alamo.fr/alerte/,
FR,car_rental,Avis,Q791136,open,,,,https://www.avis.fr/avis-coronavirus-advice,
FR,car_rental,Budget,Q1001437,partial,,,,https://www.budget.fr/Informations-importantes-coronavirus,https://abg-my.sharepoint.com/:b:/p/x601862_em/EVwciUYw-lxOmxCkeyYMk-0BTcEO7xQHJNx5XVS2mE-WKQ?e=5vzaxM
FR,car_rental,Enterprise,Q17085454,partial,,,,https://www.enterprise.fr/fr/aide/notifications/branch-closure-notification.html,
FR,car_rental,Europcar,Q1376256,partial,,,,https://www.europcar.fr/,
FR,car_rental,Hertz,Q1543874,partial,,,,https://www.hertz.fr/rentacar/misc/index.jsp?targetPage=coronavirus_travel_safety_tips.xml,http://images.hertz.com/pdfs/frFR/informations_agences.pdf
FR,car_rental,Rent A Car,Q3425574,partial,,,,https://www.rentacar.fr/nos-dossiers/267-precaution-coronavirus,
